student_id,student_name,age,gender,country,state,education_level,employment_status,industry,years_of_experience,course_name,course_category,course_fee,engagement_score,progress_percent,enrollment_date,last_active_date,assignment_submission_rate,attendance_rate,satisfaction_rating,dropout_probability,dropout_status
833,"Yadavi Borde",23,Female,India,"West Bengal",Postgraduate,unknown,,0,"Operations Strategy",Operations,1500,0.69,0,2024-04-06,0000-00-00,0.75,0.94,2,0.29,"Not Likely"
835,"Bobby Crawford",25,Female,USA,California,unknown,unknown,Others,8.7,"Growth Hacking",Marketing,1700,0.12,49,2024-11-08,2025-02-20,0.63,0.51,2,0.65,"May Leave"
836,"Joel Gordon",32,unknown,Singapore,Singapore,Undergraduate,Freelancer,Marketing,0,"Organizational Behavior",HR,1150,0.87,7,2024-04-06,0000-00-00,0.19,0.94,4,0.35,"Not Likely"
837,"Mr Leon Cox",45,Male,UK,Scotland,Undergraduate,Student,Marketing,0,"Fintech Fundamentals",Finance,1800,0.37,0,2022-10-03,2025-04-30,0.39,0.48,1,0.56,"May Leave"
838,"Azaan Pradhan",32,Female,India,"Tamil Nadu",Diploma,unknown,Others,0,"HR Analytics",HR,1300,2.21,50,2022-12-13,2025-02-08,0.06,0.64,1,0.46,"May Leave"
839,"Tina Davies",21,Male,UK,"Northern Ireland",unknown,unknown,Marketing,0,"LLMs and Generative AI","AI & Data Science",2700,2.21,6,2023-03-07,2025-02-07,0.84,0.77,1,0.55,"May Leave"
840,"Natalie Lopez",32,Other,USA,Texas,Postgraduate,Student,Marketing,0,"Investment Banking 101",Finance,2000,0.91,16,2020-01-21,0000-00-00,0.42,0.85,2,0.33,"Not Likely"
841,,23,unknown,USA,Texas,Undergraduate,Unemployed,Marketing,0,"Social Media Marketing",Marketing,1600,0.79,0,2025-04-22,2025-03-12,0.21,0.76,5,0.31,"Not Likely"
842,"Renee Lynch",32,Male,Canada,"British Columbia",Diploma,Freelancer,Finance,6.3,"Logistics & Supply Chain",Operations,1550,0.28,60,2024-12-04,2025-02-22,0.59,0.88,3,0.44,"May Leave"
843,"Angel Rojas",31,unknown,USA,Texas,Undergraduate,Unemployed,Marketing,1.5,"NLP in Action","AI & Data Science",2400,0.68,3,2021-12-17,2025-04-14,0.83,0.64,0,0.53,"May Leave"
844,,32,Other,India,"West Bengal",unknown,unknown,Finance,0.7,"Lean Six Sigma",Operations,1650,2.21,96,2024-03-29,2025-04-11,0.87,0.46,3,0.37,"Not Likely"
845,"Marcus Knight",32,Female,Australia,"New South Wales",unknown,Student,Finance,5.8,"AI Product Management","AI & Data Science",2600,0.14,31,2020-09-08,2025-04-08,0.14,0.85,0,0.6,"May Leave"
847,"Ekantika Walla",32,Other,India,Delhi,unknown,Freelancer,IT,0,"Talent Acquisition & Hiring",HR,1250,0.02,0,2021-03-10,2025-03-13,0.44,0.48,1,0.7,"May Leave"
849,"Emma Drake MD",19,Male,Canada,Alberta,Postgraduate,unknown,Finance,5.7,"Data Science Bootcamp","AI & Data Science",2400,0.59,0,2023-08-21,2025-01-12,0.83,0.61,5,0.43,"May Leave"
850,"Jose Huhn B.Eng.",19,unknown,Germany,Berlin,Undergraduate,Employed,Marketing,0,"Branding & Consumer Behavior",Marketing,1650,0.58,0,2020-11-04,2025-03-22,0.06,0.57,0,0.45,"May Leave"
851,"Gordon Young",23,Other,USA,Illinois,Undergraduate,Student,Marketing,0,"Project Management Pro",Operations,1700,0.2,69,2020-08-19,2025-03-01,0.35,0.54,5,0.55,"May Leave"
852,"Sanya Batra",21,unknown,India,"West Bengal",Undergraduate,Freelancer,Education,0,"Strategic Thinking",Business,1300,0.55,92,2020-07-07,0000-00-00,0.08,0.95,5,0.22,"Not Likely"
853,"Isaac Mukhopadhyay",43,unknown,India,Karnataka,Postgraduate,unknown,Others,0,"Lean Six Sigma",Operations,1500,0.81,0,2023-08-15,0000-00-00,0.35,0.96,1,0.24,"Not Likely"
854,"Abhiram Dhaliwal",37,unknown,India,Delhi,Undergraduate,Freelancer,IT,0,"NLP in Action","AI & Data Science",2400,0.16,0,2021-08-02,2025-01-16,0.91,0.92,5,0.51,"May Leave"
855,"Nathan Basak",35,Male,India,Karnataka,Postgraduate,unknown,,0,"Strategic Thinking",Business,1450,0.8,17,2021-01-14,2025-02-19,0.4,0.89,1,0.36,"Not Likely"
856,"Jai Ratta",32,unknown,India,"Tamil Nadu",Postgraduate,Employed,Finance,2.1,"Data Engineering with Python","AI & Data Science",2600,0.97,84,2023-02-15,2025-01-04,0.4,0.76,3,0.13,"Not Likely"
857,"Shelly Daugherty",39,Other,Australia,"New South Wales",Graduate,Employed,Others,0,"LLMs and Generative AI","AI & Data Science",2750,0.06,0,2021-06-07,2025-03-05,0.76,0.59,4,0.65,"May Leave"
858,,20,Female,India,Delhi,Diploma,unknown,Education,7.7,"Lean Six Sigma",Operations,1500,0.14,0,2025-04-23,2025-04-25,0.61,0.44,4,0.66,"May Leave"
859,"Cynthia Lewis",32,Other,Canada,Ontario,Diploma,Unemployed,IT,0,"Project Management Pro",Operations,1750,0.76,0,2021-04-28,2025-02-25,0.1,0.51,4,0.39,"Not Likely"
860,"Wyatt Bose",36,Other,India,"West Bengal",Postgraduate,Employed,Education,6.6,"Branding & Consumer Behavior",Marketing,1550,0.14,90,2022-10-20,2025-02-21,0.77,0.68,0,0.47,"May Leave"
861,"Ayushman Nayak",36,Female,India,Delhi,Diploma,Student,,0,"MLOps Mastery","AI & Data Science",2600,0.06,0,2020-07-17,2025-02-21,0.24,0.42,3,0.7,"May Leave"
862,"Margaret Mitchell",41,Other,UK,"Northern Ireland",Postgraduate,Employed,,8.5,"AI Product Management","AI & Data Science",2650,0.61,82,2020-01-04,2025-04-06,0.09,0.75,0,0.29,"Not Likely"
863,"Janya Doctor",36,unknown,India,"Tamil Nadu",Diploma,Unemployed,IT,9.5,"Data Science Bootcamp","AI & Data Science",2550,0.33,31,2023-11-10,2025-03-02,0.32,0.43,5,0.65,"May Leave"
864,"Vincent Chander",25,unknown,India,"Tamil Nadu",unknown,Employed,Finance,0,"Operations Strategy",Operations,1500,0.3,6,2024-02-29,2025-01-23,0.92,0.97,3,0.57,"May Leave"
865,,20,Female,Germany,Bavaria,Graduate,Freelancer,Marketing,0,"AI Product Management","AI & Data Science",2500,0.27,97,2025-02-19,2025-01-29,0.44,0.75,5,0.38,"Not Likely"
866,"Mrs. Savannah Gordon",32,Female,Canada,"British Columbia",Undergraduate,Employed,IT,0,"Strategic Thinking",Business,1450,0.98,57,2023-04-28,2025-04-10,0.49,0.87,5,0.18,"Not Likely"
867,"Jelena Schuster-Stadelmann",32,Other,Germany,Berlin,unknown,Employed,Others,0,"Organizational Behavior",HR,1150,0.8,99,2023-01-30,2025-05-01,0.89,0.74,5,0.16,"Not Likely"
868,"Dr Julian Jones",32,Male,UK,England,unknown,Employed,,0,"Negotiation & Influence",Business,1400,2.21,72,2024-07-29,2025-04-25,0.36,0.62,5,0.4,"Not Likely"
869,"Bhavna Kadakia",44,Male,India,Karnataka,Graduate,Student,IT,6.3,"Personal Finance Mastery",Finance,1800,0.61,0,2021-11-09,0000-00-00,0.13,0.74,5,0.38,"Not Likely"
870,,32,Female,Canada,Ontario,Undergraduate,unknown,Finance,0,"SEO & Content Strategy",Marketing,1600,0.15,76,2023-10-10,2025-04-12,0.99,0.42,5,0.59,"May Leave"
871,,42,unknown,Singapore,Singapore,Graduate,unknown,,0,"Business Analytics with Excel",Business,1400,0.41,42,2022-06-28,2025-03-08,0.17,0.93,2,0.43,"May Leave"
872,"Anthony Booth",32,unknown,UK,England,Diploma,Employed,Others,0,"Growth Hacking",Marketing,1700,0.6,44,2020-06-19,2025-01-22,0.82,0.89,2,0.36,"Not Likely"
873,"Anya Nagy",36,unknown,India,"West Bengal",Graduate,Freelancer,,0,"Personal Finance Mastery",Finance,1800,0.56,26,2023-11-18,2025-02-07,0.75,0.49,4,0.55,"May Leave"
874,"Guneet Dhingra",18,Other,India,"West Bengal",Diploma,Employed,IT,0,"Business Communication",Business,1350,0.05,0,2022-09-01,2025-04-21,0.77,0.76,2,0.6,"May Leave"
875,"Gaurang Pathak",39,unknown,India,"Tamil Nadu",Diploma,Freelancer,Finance,0,"Equity Research Essentials",Finance,1950,0.3,0,2022-03-22,2025-02-14,0.5,0.55,5,0.56,"May Leave"
876,"Jyoti Bhardwaj",23,Other,India,"Tamil Nadu",Undergraduate,Employed,IT,0,"Logistics & Supply Chain",Operations,1450,0.93,0,2020-05-06,2025-01-14,0.89,0.74,1,0.26,"Not Likely"
877,"Carl Jones",32,Female,UK,Wales,unknown,Unemployed,Finance,8.1,"Logistics & Supply Chain",Operations,1600,0.44,0,2020-07-13,2025-03-04,0.5,0.7,3,0.46,"May Leave"
878,"Damyanti Bhatnagar",32,Male,India,Karnataka,Undergraduate,Student,Others,0,"AI Product Management","AI & Data Science",2500,0.3,5,2021-03-21,2025-02-27,0.18,0.57,1,0.69,"May Leave"
879,"Liam Ratta",32,Other,India,Delhi,Postgraduate,Freelancer,Marketing,0,"Machine Learning Pro","AI & Data Science",2300,0.61,0,2021-12-22,2025-03-10,0.64,0.62,4,0.42,"May Leave"
880,"Benjamin Guha",29,unknown,India,Karnataka,unknown,Employed,Education,0,"Operations Strategy",Operations,1550,0.83,70,2024-04-05,2025-01-25,0.39,0.62,0,0.27,"Not Likely"
881,"Susan Barker",32,unknown,UK,England,Graduate,Unemployed,Finance,4,"AI Product Management","AI & Data Science",2650,0.46,0,2020-05-19,0000-00-00,0.81,0.53,0,0.51,"May Leave"
882,"John Rose",32,Other,USA,Illinois,Postgraduate,Employed,,0,"Entrepreneurship Essentials",Business,1650,0.16,6,2024-07-13,2025-02-26,0.62,0.72,0,0.7,"May Leave"
883,"Christina Gamble",27,Other,USA,"New York",Graduate,Freelancer,,6.9,"Business Communication",Business,1300,0.43,29,2022-09-15,2025-04-12,0.79,0.8,4,0.5,"May Leave"
884,"Udarsh Batta",34,unknown,India,"West Bengal",Undergraduate,Unemployed,,0,"Social Media Marketing",Marketing,1700,0.75,0,2023-10-26,2025-03-03,0.75,0.59,4,0.37,"Not Likely"
885,"Ing. Rolf Matthäi",32,Female,Germany,Berlin,Graduate,Employed,,9.1,"Performance Management",HR,1300,0.43,0,2021-02-08,2025-03-06,0.67,0.42,2,0.55,"May Leave"
886,,27,Female,UK,Wales,Diploma,Freelancer,Education,2.2,"Logistics & Supply Chain",Operations,1600,0.38,16,2025-03-24,2025-02-19,0.55,0.82,5,0.55,"May Leave"
887,"Shirley Smith",39,Male,UK,Scotland,Postgraduate,Freelancer,IT,0,"Data Science Bootcamp","AI & Data Science",2500,0.82,63,2023-04-04,2025-04-24,0.65,0.84,0,0.23,"Not Likely"
888,"Aadhya Rastogi",32,Male,India,"West Bengal",Postgraduate,Employed,Others,0,"HR Analytics",HR,1400,0.51,13,2024-07-23,2025-02-14,0.25,0.42,2,0.63,"May Leave"
889,"Mr Jason Spencer",36,Female,UK,Scotland,Undergraduate,Unemployed,Marketing,0.4,"Equity Research Essentials",Finance,1950,0.62,11,2020-06-22,2025-02-12,0.52,0.82,2,0.47,"May Leave"
890,"Kavya Tella",20,Female,India,"West Bengal",Undergraduate,unknown,Marketing,1.4,"Deep Learning Essentials","AI & Data Science",2300,0.2,56,2022-10-09,2025-03-23,0.3,0.9,1,0.48,"May Leave"
891,"Matthew Nielsen",38,Male,USA,California,unknown,Unemployed,Others,0,"Negotiation & Influence",Business,1550,0.27,0,2021-08-14,0000-00-00,0.58,0.89,1,0.47,"May Leave"
892,"Gauri Dewan",32,Male,India,"West Bengal",Diploma,Freelancer,Education,2.7,"Organizational Behavior",HR,1250,0.88,16,2023-01-08,2025-01-11,0.32,0.46,3,0.46,"May Leave"
893,"Kai Sura",27,Other,India,"West Bengal",unknown,Unemployed,,0,"Machine Learning Pro","AI & Data Science",2300,0.41,0,2023-08-15,2025-01-25,0.21,0.75,4,0.46,"May Leave"
894,"Linda Goodwin",32,Female,USA,California,Diploma,Student,Education,0,"Computer Vision Crash Course","AI & Data Science",2300,0.78,0,2020-08-22,2025-03-03,0.82,0.98,5,0.24,"Not Likely"
895,"Sarthak Nagar",32,Female,India,Maharashtra,Graduate,Employed,IT,0,"Operations Strategy",Operations,1500,0.78,3,2023-02-13,2025-01-10,0.79,0.99,0,0.38,"Not Likely"
896,"Darpan Ahuja",28,Other,India,"Tamil Nadu",unknown,Freelancer,Marketing,0,"Branding & Consumer Behavior",Marketing,1550,0.78,0,2020-02-16,2025-01-22,0.2,0.51,4,0.38,"Not Likely"
897,"Radhika Bora",37,unknown,India,Delhi,Graduate,Student,IT,0,"Financial Modeling",Finance,2050,0.81,29,2024-12-31,0000-00-00,0.36,0.98,5,0.29,"Not Likely"
898,"Jill Harding",32,Female,UK,Scotland,Postgraduate,Unemployed,IT,0.9,"LLMs and Generative AI","AI & Data Science",2700,0.54,0,2023-06-12,2025-03-09,0.68,0.71,0,0.42,"May Leave"
899,"Ariana Brown",32,Male,Australia,Victoria,Diploma,unknown,Education,6.1,"Fintech Fundamentals",Finance,1950,0.09,27,2021-07-28,2025-03-20,0.98,0.5,1,0.73,"Likely to Leave"
900,"Baljiwan Sarma",32,Male,India,Delhi,Postgraduate,Freelancer,Others,1.7,"SEO & Content Strategy",Marketing,1500,0.2,0,2023-10-18,2025-04-15,0.54,0.93,2,0.49,"May Leave"
901,"Yashica Upadhyay",32,Male,India,"Tamil Nadu",Graduate,unknown,,0,"Deep Learning Essentials","AI & Data Science",2300,0.03,48,2022-07-20,2025-04-03,0.39,0.76,3,0.62,"May Leave"
902,"Indira Kar",41,Female,India,Maharashtra,unknown,unknown,IT,0,"Negotiation & Influence",Business,1550,0.25,0,2022-01-12,2025-01-13,0.07,0.74,2,0.53,"May Leave"
903,"Qadim Gole",36,unknown,India,"Tamil Nadu",Diploma,Unemployed,Finance,0,"Organizational Behavior",HR,1150,0.24,60,2020-09-01,2025-03-23,0.9,0.44,1,0.59,"May Leave"
904,"Debbie Jacobs",32,unknown,Canada,Alberta,unknown,unknown,Others,0,"Personal Finance Mastery",Finance,1700,0.48,0,2020-05-11,2025-04-06,0.89,0.6,0,0.48,"May Leave"
905,"Dr. Matthew Cook",32,Female,USA,Illinois,Diploma,Freelancer,Education,0,"LLMs and Generative AI","AI & Data Science",2600,0.61,0,2024-09-22,2025-04-25,0.05,0.75,4,0.38,"Not Likely"
906,"Omya Trivedi",32,Female,India,Karnataka,Postgraduate,Unemployed,IT,4.2,"HR Analytics",HR,1400,0.08,0,2024-02-21,2025-03-27,0.61,0.6,0,0.64,"May Leave"
907,"Amruta Karnik",32,Male,India,Delhi,unknown,Freelancer,Others,6.3,"Social Media Marketing",Marketing,1750,0.93,0,2023-10-03,2025-04-16,0.17,0.42,5,0.35,"Not Likely"
908,"Francis Phillips-Brown",32,Other,UK,"Northern Ireland",Postgraduate,unknown,Others,0,"Negotiation & Influence",Business,1500,0.01,45,2020-03-07,2025-03-05,0.32,0.67,1,0.66,"May Leave"
909,"Charles Reid",38,Female,USA,Texas,unknown,Employed,Marketing,0,"Social Media Marketing",Marketing,1700,0.47,0,2020-09-11,2025-02-11,0.6,0.41,4,0.54,"May Leave"
910,"Raymond Watkins-Roberts",40,Male,UK,Scotland,Diploma,Freelancer,Marketing,0,"Social Media Marketing",Marketing,1700,0.49,49,2024-02-07,2025-04-09,0.24,0.41,0,0.53,"May Leave"
911,"Jill Brown",32,Other,UK,England,Graduate,Student,IT,1.7,"Social Media Marketing",Marketing,1700,0.68,0,2023-04-04,2025-01-30,0.82,0.61,3,0.4,"Not Likely"
912,"Qabil Thakkar",42,unknown,India,"Tamil Nadu",Diploma,Freelancer,Marketing,6.9,"Project Management Pro",Operations,1700,0.9,84,2021-10-22,2025-02-06,0.24,0.73,0,0.17,"Not Likely"
913,"Timothy Zachariah",32,Other,India,"Tamil Nadu",Undergraduate,Student,Others,0,"Investment Banking 101",Finance,2150,0.71,0,2021-11-24,2025-01-12,0.05,0.58,0,0.39,"Not Likely"
914,,32,Other,India,"West Bengal",unknown,Freelancer,,8,"Lean Six Sigma",Operations,1600,0.78,40,2020-12-04,2025-04-04,0.21,0.74,3,0.35,"Not Likely"
915,"Vidhi Mital",32,Female,India,Maharashtra,unknown,unknown,,0,"Investment Banking 101",Finance,2000,0.66,0,2020-05-28,0000-00-00,0.04,0.93,4,0.31,"Not Likely"
916,"Hemangini Dutta",32,Female,India,"West Bengal",Diploma,Employed,Education,0,"Data Science Bootcamp","AI & Data Science",2500,0.72,37,2022-07-13,2025-02-09,0.97,0.64,2,0.41,"May Leave"
917,"Yashoda Natt",32,Male,India,Maharashtra,Undergraduate,Unemployed,Education,2.2,"Fintech Fundamentals",Finance,1900,0.98,31,2021-02-27,2025-01-08,0.41,0.98,0,0.22,"Not Likely"
918,"Ansh Divan",32,Female,India,Delhi,Postgraduate,Unemployed,Education,0,"Personal Finance Mastery",Finance,1850,0.27,41,2021-08-15,2025-03-11,0.73,0.52,5,0.61,"May Leave"
919,"Fiyaz Panchal",41,unknown,India,Maharashtra,unknown,Employed,IT,8.5,"Digital Marketing Bootcamp",Marketing,1800,0.15,0,2020-12-15,2025-01-28,0.94,1,2,0.49,"May Leave"
920,"Viraj Kunda",32,Male,India,Delhi,unknown,Freelancer,Marketing,0,"Personal Finance Mastery",Finance,1800,0.02,55,2023-05-27,2025-04-21,0.59,0.86,2,0.57,"May Leave"
921,"Nuran Schaaf",21,Other,Germany,Berlin,Diploma,Student,Marketing,0,"Negotiation & Influence",Business,1550,0.61,0,2020-01-07,2025-04-13,0.53,0.93,3,0.33,"Not Likely"
922,"Patrick Gill",32,Male,UK,Wales,Undergraduate,unknown,IT,0,"Data Engineering with Python","AI & Data Science",2600,0.6,0,2020-09-07,2025-05-03,0.66,0.72,2,0.39,"Not Likely"
923,"Samar Badal",32,Male,India,"Tamil Nadu",unknown,Employed,,0,"Computer Vision Crash Course","AI & Data Science",2150,0.58,94,2025-03-23,2025-02-22,0.7,0.79,2,0.25,"Not Likely"
924,"Aarav Sha",33,Male,India,"West Bengal",unknown,Unemployed,Others,0,"Logistics & Supply Chain",Operations,1550,0.73,90,2022-11-21,2025-01-11,0.22,0.8,3,0.2,"Not Likely"
925,"Mrs Francesca Brooks",32,Female,UK,"Northern Ireland",Postgraduate,unknown,,0,"NLP in Action","AI & Data Science",2350,0.85,87,2020-01-11,2025-04-18,0.92,0.88,0,0.14,"Not Likely"
926,"Henry Giles",32,Male,UK,"Northern Ireland",Diploma,Student,Finance,0,"Investment Banking 101",Finance,2000,0.17,58,2020-09-25,2025-01-13,0.95,0.61,3,0.57,"May Leave"
927,"Ganga Karpe",32,Other,India,Delhi,Graduate,Student,,0,"AI Product Management","AI & Data Science",2650,0.4,0,2020-11-18,2025-04-10,0.19,0.88,4,0.43,"May Leave"
928,"Anvi Rastogi",44,Other,India,"Tamil Nadu",Diploma,unknown,Others,4.2,"Talent Acquisition & Hiring",HR,1350,0.88,0,2023-06-24,2025-02-09,0.65,0.84,0,0.25,"Not Likely"
929,"Ashley Poole",32,Male,USA,"New York",Undergraduate,Employed,Others,1.8,"Personal Finance Mastery",Finance,1700,0.24,0,2024-07-25,2025-01-30,0.75,0.94,2,0.47,"May Leave"
930,"Unnati Nigam",32,unknown,India,"Tamil Nadu",Postgraduate,Unemployed,Others,0,"Lean Six Sigma",Operations,1650,0.8,7,2024-02-09,2025-05-03,0.52,0.85,3,0.4,"Not Likely"
931,"Idika Agate",32,Other,India,Maharashtra,Graduate,unknown,Others,0,"Talent Acquisition & Hiring",HR,1350,0.73,60,2024-10-27,2025-01-06,0.04,0.87,2,0.27,"Not Likely"
932,"Catherine Mccarthy",24,Male,USA,California,Diploma,Unemployed,,0,"Organizational Behavior",HR,1250,0.43,37,2024-05-10,2025-04-08,0.63,0.86,2,0.46,"May Leave"
933,"Ana Davis",42,Female,Australia,"New South Wales",unknown,Unemployed,Finance,0,"Branding & Consumer Behavior",Marketing,1650,2.21,77,2023-11-22,2025-02-18,0,0.6,1,0.39,"Not Likely"
934,"Noah Gera",32,Female,India,Maharashtra,Graduate,Unemployed,,0,"Equity Research Essentials",Finance,1850,0.28,59,2022-06-08,2025-03-12,0.99,0.58,1,0.54,"May Leave"
935,"Patrick Bala",41,Male,India,Karnataka,Postgraduate,Unemployed,,0,"Social Media Marketing",Marketing,1700,0.77,55,2024-02-14,2025-02-17,0.02,0.78,4,0.29,"Not Likely"
936,"Ernestine Mende-Girschner",27,unknown,Germany,Hesse,Graduate,Freelancer,IT,0,"Organizational Behavior",HR,1300,0.2,43,2021-12-11,2025-01-20,0.94,0.66,4,0.59,"May Leave"
937,"Harita Shankar",32,unknown,India,Karnataka,unknown,Student,Education,0,"Business Analytics with Excel",Business,1500,0.89,90,2022-12-20,0000-00-00,0.27,0.88,0,0.11,"Not Likely"
938,"Vincent Bhat",25,Female,India,Maharashtra,Undergraduate,Unemployed,Finance,3.6,"Project Management Pro",Operations,1700,0.81,44,2022-09-08,2025-04-18,0.88,0.54,3,0.38,"Not Likely"
939,"Ayush Nanda",25,unknown,India,Maharashtra,Graduate,Student,Education,4.8,"LLMs and Generative AI","AI & Data Science",2750,2.21,62,2024-10-27,2025-04-30,0.08,0.94,3,0.33,"Not Likely"
940,"Nachiket Choudhary",32,Other,India,Maharashtra,Graduate,Freelancer,Education,0,"AI for Business","AI & Data Science",2200,0.79,61,2022-01-04,2025-04-17,0.51,0.68,0,0.3,"Not Likely"
941,"Kyle Boyd",32,Male,USA,California,Postgraduate,Student,Education,0,"Digital Marketing Bootcamp",Marketing,1800,0.74,0,2022-03-18,2025-03-11,0.77,0.7,5,0.34,"Not Likely"
942,"Brandy Meyer",20,unknown,USA,Illinois,Diploma,Unemployed,Education,0,"Lean Six Sigma",Operations,1650,0.37,4,2024-11-27,0000-00-00,0.09,0.82,1,0.59,"May Leave"
943,"Ellie Smith-Dixon",32,Other,UK,England,Undergraduate,unknown,,0,"Business Communication",Business,1200,0.38,54,2021-12-15,2025-04-25,0.94,0.41,4,0.56,"May Leave"
944,"George Blake",32,Other,USA,"New York",Postgraduate,unknown,,0,"Branding & Consumer Behavior",Marketing,1700,0.66,0,2022-05-15,2025-04-22,0.53,0.58,3,0.41,"May Leave"
945,"Balveer More",45,Female,India,"West Bengal",Undergraduate,Freelancer,Education,3.8,"AI for Business","AI & Data Science",2100,0.91,0,2023-02-07,2025-01-26,0.25,0.95,3,0.2,"Not Likely"
946,"Wendy Cook",37,Female,Singapore,Singapore,Graduate,unknown,Finance,0,"Quantitative Finance with Python",Finance,2250,0.44,3,2020-12-06,2025-04-03,0.64,0.83,5,0.57,"May Leave"
947,"Naveen Vaidya",28,Other,India,Delhi,Undergraduate,Student,Others,6,"NLP in Action","AI & Data Science",2400,0.68,0,2023-12-08,0000-00-00,0.35,0.58,0,0.4,"Not Likely"
948,"Fiyaz Prakash",32,Female,India,"Tamil Nadu",unknown,Student,Education,6.4,"NLP in Action","AI & Data Science",2400,0.52,0,2021-09-07,2025-01-29,0.26,0.69,1,0.44,"May Leave"
949,"Hemani Shroff",22,Male,India,"Tamil Nadu",Postgraduate,Freelancer,,0,"Project Management Pro",Operations,1700,0.99,0,2022-04-11,2025-01-18,0.04,0.47,0,0.31,"Not Likely"
950,"Damyanti Mohanty",32,unknown,India,Karnataka,Postgraduate,unknown,,0,"Negotiation & Influence",Business,1500,0.69,0,2024-02-20,2025-01-08,0.97,0.98,5,0.28,"Not Likely"
951,"Nitesh Kuruvilla",32,unknown,India,Delhi,unknown,Unemployed,Education,9.2,"Leadership Development",HR,1350,0.91,95,2020-07-17,2025-05-02,0.7,0.72,0,0.14,"Not Likely"
952,"Jennifer Perry",32,Male,Singapore,Singapore,Diploma,unknown,Others,0,"Computer Vision Crash Course","AI & Data Science",2150,0.85,27,2020-11-07,2025-01-21,0.55,0.47,4,0.44,"May Leave"
953,"Ekansh Chawla",18,Male,India,"West Bengal",Diploma,Freelancer,Finance,0,"Negotiation & Influence",Business,1500,0.62,81,2020-05-10,0000-00-00,0.68,0.9,1,0.24,"Not Likely"
954,"Jennifer Barron",32,Male,Australia,"New South Wales",Diploma,Employed,Others,0,"SEO & Content Strategy",Marketing,1500,0.39,29,2025-01-24,2025-03-09,0.8,0.82,3,0.51,"May Leave"
955,"Dr Deborah Morgan",32,Female,UK,"Northern Ireland",Diploma,Unemployed,Finance,0,"Talent Acquisition & Hiring",HR,1350,0.53,51,2023-06-22,2025-02-04,0.44,0.42,2,0.51,"May Leave"
956,"Mr Jeffrey Fry",32,Female,UK,Wales,Postgraduate,Freelancer,Education,0,"Machine Learning Pro","AI & Data Science",2300,0.78,0,2022-08-13,2025-05-03,0.8,0.94,2,0.26,"Not Likely"
957,"Louis Jones-Jackson",32,Female,UK,Wales,Undergraduate,Student,Finance,0,"Negotiation & Influence",Business,1400,0.43,0,2020-04-23,2025-02-10,0.1,0.88,4,0.41,"May Leave"
958,"Imaran Rastogi",39,Male,India,Karnataka,Graduate,Employed,Finance,0.7,"Deep Learning Essentials","AI & Data Science",2450,0.37,92,2023-01-13,2025-04-05,0.88,0.83,4,0.33,"Not Likely"
959,"Hans-Theo Schinke-Niemeier",32,Male,Germany,Bavaria,Graduate,Unemployed,IT,0,"AI for Business","AI & Data Science",2250,0.81,32,2023-03-24,2025-03-23,0.77,0.57,0,0.41,"May Leave"
960,"Mr. David Mercado",24,unknown,Australia,Queensland,Undergraduate,Student,Marketing,0,"LLMs and Generative AI","AI & Data Science",2750,0.27,0,2020-11-11,2025-02-17,0.13,0.64,2,0.55,"May Leave"
961,"Lucky Jha",32,unknown,India,Delhi,unknown,Freelancer,Education,0,"Investment Banking 101",Finance,2150,0.2,14,2025-02-21,2025-04-23,0.34,0.92,2,0.6,"May Leave"
962,"Noah Graham",32,Female,Singapore,Singapore,Undergraduate,unknown,,8.5,"Personal Finance Mastery",Finance,1850,2.21,32,2021-09-01,0000-00-00,0.14,1,2,0.4,"Not Likely"
963,"Danny King",32,unknown,UK,"Northern Ireland",Postgraduate,unknown,Others,0,"Lean Six Sigma",Operations,1500,0.13,62,2024-11-15,2025-04-22,0.55,0.65,3,0.57,"May Leave"
964,"Laura Green-Hunt",34,Female,UK,Scotland,Graduate,unknown,Others,0,"Data Engineering with Python","AI & Data Science",2600,0.96,58,2020-03-05,2025-02-22,0.23,0.81,1,0.2,"Not Likely"
965,,44,Other,Canada,Alberta,Graduate,unknown,,0,"AI Product Management","AI & Data Science",2500,0.2,0,2025-04-18,2025-03-24,0.4,0.69,2,0.56,"May Leave"
966,"Ethan Sathe",20,Other,India,Maharashtra,Undergraduate,Student,Finance,0,"Digital Marketing Bootcamp",Marketing,1800,0.05,0,2022-07-18,2025-03-24,0.24,0.78,1,0.6,"May Leave"
967,"Harinakshi Bal",38,Other,India,Maharashtra,Undergraduate,unknown,IT,0,"Personal Finance Mastery",Finance,1700,0.82,0,2021-08-21,2025-01-21,0.55,0.9,4,0.25,"Not Likely"
968,"Margaret Jones",35,Female,UK,Scotland,Undergraduate,Unemployed,Education,2.4,"Personal Finance Mastery",Finance,1850,0.37,0,2023-12-08,2025-01-28,0.1,0.6,4,0.52,"May Leave"
969,,25,Female,India,"West Bengal",Undergraduate,unknown,Finance,0,"Entrepreneurship Essentials",Business,1650,0.09,93,2022-05-08,2025-01-03,0.07,0.63,1,0.5,"May Leave"
970,"Oeshi Chacko",32,unknown,India,"West Bengal",Diploma,Employed,Others,0,"Project Management Pro",Operations,1700,0.37,0,2021-12-08,2025-02-25,0.61,0.82,1,0.46,"May Leave"
971,"Dominic De",31,unknown,India,Maharashtra,Postgraduate,Student,Finance,0,"Data Engineering with Python","AI & Data Science",2650,0.05,94,2020-01-15,2025-03-24,0.73,0.49,0,0.55,"May Leave"
